商品ID,ブランド,商品名,香水濃度,容量,参考価格,発売年,トップノート,ミドルノート,ラストノート,香調,シーン,季節,おすすめする人,おすすめしにくい人,注意点,香りプロフィール数値,Amazonリンク,楽天リンク,公式リンク,関連商品,SEOタイトル,SEO説明,情報出典,欠損項目数,欠損項目
jo-malone-2,Jo Malone,イングリッシュ ペアー & フリージア,,,"¥15,000前後",2010,洋ナシ,フリージア・ローズ,パチョリ・ムスク,フローラル,デイリー / デート,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00s3q0n.k90d68a5.g00s3q0n.k90d785c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosme-venus%2F0690251019090%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosme-venus%2Fi%2F10001971%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,jo-malone-1 / jo-malone-3 / jo-malone-4,イングリッシュ ペアー & フリージア（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,Jo Malone「イングリッシュ ペアー & フリージア」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
marc-jacobs-1,Marc Jacobs,デイジー,,,"¥9,000前後",2007,ストロベリー・バイオレットリーフ,ジャスミン・ガーデニア,ムスク・ホワイトウッド,フローラル,デイリー / デート,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00quion.k90d6868.g00quion.k90d7b95/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fosharecafe%2F5000547_1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fosharecafe%2Fi%2F10037514%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,ysl-2 / chanel-3 / dior-4,デイジー（Marc Jacobs）はどんな匂い？香調・持続・合うシーン｜Sillage,Marc Jacobs「デイジー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
jo-malone-3,Jo Malone,ピオニー & ブラッシュ スエード,,,"¥15,000前後",2013,レッドアップル,ピオニー,スエード,フローラル,デート / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F27028l3ae01%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000040%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,jo-malone-1 / jo-malone-2 / jo-malone-4,ピオニー & ブラッシュ スエード（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,Jo Malone「ピオニー & ブラッシュ スエード」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
versace-1,Versace,エロス EDT,オードトワレ,50mL / 100mL,"¥6,000前後",2012,ミント・グリーンアップル・レモン,トンカ・ゼラニウム・アンブロキサン,バニラ・シダー,フルーティ,デート / デイリー,夏 / 春,ミントと果実の明るい香りを楽しみたい人 / 春夏のデートや普段使いに華やかさを足したい人,甘さを抑えたドライな香りを探している人,公式確認先は米国サイトです。日本国内の公式価格は掲載していません,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1191%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10037076%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html,versace-2 / versace-3 / versace-4,エロス EDT（Versace）はどんな匂い？香調・持続・合うシーン｜Sillage,Versace「エロス EDT」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html"",""publisher"":""Versace"",""title"":""Eros EDT 100 ml"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes"",""notes""]}]",2,香りプロフィール数値 / Amazonリンク
versace-2,Versace,ディラン ブルー,,,"¥6,500前後",2017,ベルガモット・水生ノート,フィグ・ペッパー,ムスク・インセンス,フルーティ,デート / デイリー,夏 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1321-sale%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048333%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,versace-1 / versace-3 / versace-4,ディラン ブルー（Versace）はどんな匂い？香調・持続・合うシーン｜Sillage,Versace「ディラン ブルー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
azzaro-2,Azzaro,クローム,,,"¥4,500前後",1996,パイナップル・ローズマリー,ジャスミン・シクラメン,ムスク・シダー,フルーティ,デイリー / スポーツ,夏 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rf2sn.k90d6927.g00rf2sn.k90d73ba/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbesba%2Fazo-057%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbesba%2Fi%2F10024728%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,azzaro-1 / azzaro-3 / versace-1,クローム（Azzaro）はどんな匂い？香調・持続・合うシーン｜Sillage,Azzaro「クローム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
tom-ford-1,Tom Ford,トバコ バニラ,オード パルファム,10mL / 50mL / 100mL / 250mL,"¥30,000前後",2007,タバコリーフ・スパイス,トンカ・カカオ,バニラ・ドライフルーツ,グルマン,デート / フォーマル,冬,タバコとバニラの濃厚な甘さを楽しみたい人 / 冬の夜やフォーマルな装いに合わせたい人,軽やかなシトラスやマリン系を求める人,公式確認先は米国サイトです。日本国内の公式価格は掲載していません,,,,https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum,tom-ford-2 / tom-ford-3 / mugler-1,トバコ バニラ（Tom Ford）はどんな匂い？香調・持続・合うシーン｜Sillage,Tom Ford「トバコ バニラ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum"",""publisher"":""Tom Ford Beauty"",""title"":""Tobacco Vanille Eau de Parfum"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes"",""notes""]}]",3,香りプロフィール数値 / Amazonリンク / 楽天リンク
mugler-1,Mugler,エンジェル,,,"¥15,000前後",1992,ベルガモット・トロピカル,ハニー・キャラメル,パチョリ・チョコレート,グルマン,デート / デイリー,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fthi002-100%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10002751%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-1 / thierry-mugler-1 / jean-paul-gaultier-1,エンジェル（Mugler）はどんな匂い？香調・持続・合うシーン｜Sillage,Mugler「エンジェル」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
thierry-mugler-1,Thierry Mugler,A*MEN,,,"¥9,000前後",1996,ラベンダー・ミント,コーヒー・キャラメル,パチョリ・タール,グルマン,デート / デイリー,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00t5c4n.k90d68f1.g00t5c4n.k90d7d3e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdiogreco%2Fmugler-amencologne-edt%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdiogreco%2Fi%2F10046635%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-1 / mugler-1 / jean-paul-gaultier-1,A*MEN（Thierry Mugler）はどんな匂い？香調・持続・合うシーン｜Sillage,Thierry Mugler「A*MEN」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
jean-paul-gaultier-1,Jean Paul Gaultier,ル マル,,,"¥8,000前後",1995,ミント・ラベンダー,オレンジブロッサム・シナモン,バニラ・トンカ,グルマン,デート / デイリー,冬 / 秋,,,,,,,,tom-ford-1 / mugler-1 / thierry-mugler-1,ル マル（Jean Paul Gaultier）はどんな匂い？香調・持続・合うシーン｜Sillage,Jean Paul Gaultier「ル マル」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
giorgio-armani-1,Giorgio Armani,ストロンガー ウィズ ユー,,,"¥9,000前後",2017,カルダモン・ピンクペッパー,セージ・栗,バニラ・アンバー,グルマン,デート / デイリー,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00t2xcn.k90d6542.g00t2xcn.k90d7130/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fstrawberrynet-beauty%2F235254%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fstrawberrynet-beauty%2Fi%2F10032777%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,giorgio-armani-2 / giorgio-armani-3 / tom-ford-1,ストロンガー ウィズ ユー（Giorgio Armani）はどんな匂い？香調・持続・合うシーン｜Sillage,Giorgio Armani「ストロンガー ウィズ ユー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
viktor-rolf-1,Viktor&Rolf,スパイスボム エクストリーム,,,"¥10,000前後",2014,タバコ,シナモン・サフラン,バニラ・タバコ,グルマン,デート / フォーマル,冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pti0n.k90d63ce.g00pti0n.k90d7455/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbelmo%2Ffr3614270659706%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbelmo%2Fi%2F11574113%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,viktor-rolf-2 / tom-ford-1 / mugler-1,スパイスボム エクストリーム（Viktor&Rolf）はどんな匂い？香調・持続・合うシーン｜Sillage,Viktor&Rolf「スパイスボム エクストリーム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
prada-1,Prada,キャンディ,,,"¥13,000前後",2011,キャラメル・ベンゾイン,ムスク,バニラ,グルマン,デート / デイリー,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fpra1123%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10038332%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,prada-2 / tom-ford-1 / mugler-1,キャンディ（Prada）はどんな匂い？香調・持続・合うシーン｜Sillage,Prada「キャンディ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
carolina-herrera-1,Carolina Herrera,バッドボーイ,,,"¥8,000前後",2019,ベルガモット・ブラックペッパー,セージ・シダー,ココア・トンカ,グルマン,デート / デイリー,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pti0n.k90d63ce.g00pti0n.k90d7455/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbelmo%2Ffr8411061962145%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbelmo%2Fi%2F11888306%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-1 / mugler-1 / thierry-mugler-1,バッドボーイ（Carolina Herrera）はどんな匂い？香調・持続・合うシーン｜Sillage,Carolina Herrera「バッドボーイ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
ysl-3,YSL,ブラック オピウム,,,"¥14,000前後",2014,ピンクペッパー・オレンジ,コーヒー・ジャスミン,バニラ・パチョリ,グルマン,デート / デイリー,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pti0n.k90d63ce.g00pti0n.k90d7455/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbelmo%2Ffr3614273256476%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbelmo%2Fi%2F11897368%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,ysl-1 / ysl-2 / ysl-4,ブラック オピウム（YSL）はどんな匂い？香調・持続・合うシーン｜Sillage,YSL「ブラック オピウム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
parfums-de-marly-1,Parfums de Marly,レイトン,,,"¥38,000前後",2016,アップル・ベルガモット・マンダリン,ラベンダー・すみれ・ゼラニウム,バニラ・サンダルウッド・ペッパー,グルマン,デート / フォーマル,秋 / 冬,,,,,,,,tom-ford-1 / mugler-1 / thierry-mugler-1,レイトン（Parfums de Marly）はどんな匂い？香調・持続・合うシーン｜Sillage,Parfums de Marly「レイトン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
maison-margiela-1,Maison Margiela,レプリカ ジャズクラブ,オードトワレ,10mL / 30mL / 100mL,"¥16,000前後",2013,ピンクペッパー・レモン,ラム・クラリセージ,タバコ・バニラ,アンバー,デート / デイリー,秋 / 冬,ラムとタバコの温かい香りを秋冬に楽しみたい人 / 日常に少し個性的なアンバー調を取り入れたい人,明るい柑橘だけの軽い香りを好む人,公式確認先は米国サイトです。日本国内の公式価格は掲載していません,,,https://hb.afl.rakuten.co.jp/hgc/g00pl3fn.k90d6b94.g00pl3fn.k90d70c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F10050360%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwish%2Fi%2F10056538%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://www.maisonmargiela-fragrances.us/fragrances/replica/replica-jazz-club/MM008.html,maison-margiela-2 / dior-5 / paco-rabanne-2,レプリカ ジャズクラブ（Maison Margiela）はどんな匂い？香調・持続・合うシーン｜Sillage,Maison Margiela「レプリカ ジャズクラブ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.maisonmargiela-fragrances.us/fragrances/replica/replica-jazz-club/MM008.html"",""publisher"":""Maison Margiela Fragrances"",""title"":""REPLICA Jazz Club"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes"",""notes""]}]",2,香りプロフィール数値 / Amazonリンク
dior-5,Dior,ソヴァージュ エリクシール,,,"¥18,000前後",2021,シナモン・カルダモン・ナツメグ,ラベンダー,アンバー・リコリス,アンバー,デート / フォーマル,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F3348901567572%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10073737%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-1 / dior-2 / dior-3,ソヴァージュ エリクシール（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ソヴァージュ エリクシール」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
paco-rabanne-2,Paco Rabanne,1 ミリオン,,,"¥7,000前後",2008,グレープフルーツ・ミント,ローズ・シナモン,レザー・アンバー,アンバー,デート / デイリー,秋 / 冬,,,,,,,,paco-rabanne-1 / paco-rabanne-3 / maison-margiela-1,1 ミリオン（Paco Rabanne）はどんな匂い？香調・持続・合うシーン｜Sillage,Paco Rabanne「1 ミリオン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
bvlgari-1,Bvlgari,マン イン ブラック,,,"¥12,000前後",2014,ラム・スパイス,レザー・チュベローズ,トンカ・アンバー,アンバー,デート / フォーマル,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-bvl025-060%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10015694%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,bvlgari-2 / bvlgari-3 / maison-margiela-1,マン イン ブラック（Bvlgari）はどんな匂い？香調・持続・合うシーン｜Sillage,Bvlgari「マン イン ブラック」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
ysl-4,YSL,ラ ニュイ ドゥ ロム,,,"¥13,000前後",2009,カルダモン,ラベンダー・ベルガモット,シダー・ベチバー,アンバー,デート / フォーマル,秋 / 冬,,,,,,,,ysl-1 / ysl-2 / ysl-3,ラ ニュイ ドゥ ロム（YSL）はどんな匂い？香調・持続・合うシーン｜Sillage,YSL「ラ ニュイ ドゥ ロム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
viktor-rolf-2,Viktor&Rolf,スパイスボム,,,"¥9,000前後",2012,ベルガモット・グレープフルーツ,シナモン・レザー,タバコ・ベチバー,アンバー,デート / デイリー,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00t2xcn.k90d6542.g00t2xcn.k90d7130/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fstrawberrynet-beauty%2F138493%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fstrawberrynet-beauty%2Fi%2F10019158%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,viktor-rolf-1 / maison-margiela-1 / dior-5,スパイスボム（Viktor&Rolf）はどんな匂い？香調・持続・合うシーン｜Sillage,Viktor&Rolf「スパイスボム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dolce-gabbana-2,Dolce&Gabbana,ザ ワン フォー メン,,,"¥8,000前後",2008,グレープフルーツ・バジル,カルダモン・ジンジャー,タバコ・アンバー,アンバー,ビジネス / デート,秋 / 冬,,,,,,,,dolce-gabbana-1 / maison-margiela-1 / dior-5,ザ ワン フォー メン（Dolce&Gabbana）はどんな匂い？香調・持続・合うシーン｜Sillage,Dolce&Gabbana「ザ ワン フォー メン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
azzaro-3,Azzaro,ワンテッド,,,"¥6,500前後",2016,ジンジャー・レモン,カルダモン・サフラン,トンカ・ベチバー,アンバー,デート / デイリー,秋 / 冬,,,,,,,,azzaro-1 / azzaro-2 / maison-margiela-1,ワンテッド（Azzaro）はどんな匂い？香調・持続・合うシーン｜Sillage,Azzaro「ワンテッド」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
maison-francis-kurkdjian-1,Maison Francis Kurkdjian,バカラ ルージュ 540,,,"¥35,000前後",2014,サフラン・ジャスミン,アンバーウッド・シダー,ファーレザー・オークモス,アンバー,デート / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fmai005-200%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10007724%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,maison-margiela-1 / dior-5 / paco-rabanne-2,バカラ ルージュ 540（Maison Francis Kurkdjian）はどんな匂い？香調・持続・合うシーン｜Sillage,Maison Francis Kurkdjian「バカラ ルージュ 540」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
versace-3,Versace,エロス フレイム,,,"¥7,000前後",2018,マンダリン・レモン・ブラックペッパー,ローズ・ゼラニウム・ローズマリー,トンカ・バニラ・サンダルウッド,アンバー,デート / デイリー,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1333%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10049546%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,versace-1 / versace-2 / versace-4,エロス フレイム（Versace）はどんな匂い？香調・持続・合うシーン｜Sillage,Versace「エロス フレイム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
chanel-4,Chanel,ブルー ドゥ シャネル EDP,,,"¥15,000前後",2014,グレープフルーツ・レモン・ミント,ジンジャー・ジャスミン,サンダルウッド・シダー,ウッディ,ビジネス / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00svf6n.k90d68b6.g00svf6n.k90d7eab/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbrilliantworld%2Fchanel-blue-edp%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbrilliantworld%2Fi%2F10001493%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-1 / chanel-2 / chanel-3,ブルー ドゥ シャネル EDP（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「ブルー ドゥ シャネル EDP」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
tom-ford-2,Tom Ford,オード ウッド,,,"¥28,000前後",2007,ローズウッド・カルダモン,ウード・サンダルウッド,バニラ・アンバー,ウッディ,フォーマル / デート,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F1059081924%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10079438%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-1 / tom-ford-3 / chanel-4,オード ウッド（Tom Ford）はどんな匂い？香調・持続・合うシーン｜Sillage,Tom Ford「オード ウッド」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
